,0,1
1187,300488,恒锋工具
1188,002302,西部建设
1189,300573,兴齐眼药
1190,002181,粤 传 媒
1191,000976,华铁股份
1192,300533,冰川网络
1193,000999,华润三九
1194,002705,新宝股份
1195,300191,潜能恒信
1196,002861,瀛通通讯
1197,300485,赛升药业
1198,000996,中国中期
1199,300217,东方电热
1200,002526,山东矿机
1201,002426,*ST胜利
1202,000629,攀钢钒钛
1203,000608,阳光股份
1204,300107,建新股份
1205,300001,特锐德
1206,002757,南兴股份
1207,300696,爱乐达
1208,300162,雷曼光电
1209,002474,榕基软件
1210,000025,特  力Ａ
1211,002577,雷柏科技
1212,300226,上海钢联
1213,000400,许继电气
1214,000729,燕京啤酒
1215,002155,湖南黄金
1216,002104,恒宝股份
1217,300036,超图软件
1218,300703,创源股份
1219,002090,金智科技
1220,300279,和晶科技
1221,300108,吉药控股
1222,000032,深桑达Ａ
1223,002066,瑞泰科技
1224,002678,珠江钢琴
1225,002022,科华生物
1226,300099,精准信息
1227,000927,中国铁物
1228,000559,万向钱潮
1229,002329,皇氏集团
1230,300597,吉大通信
1231,002552,宝鼎科技
1232,002943,宇晶股份
1233,002100,天康生物
1234,002161,远 望 谷
1235,300174,元力股份
1236,300176,派生科技
1237,000850,华茂股份
1238,002540,亚太科技
1239,300229,拓尔思
1240,300626,华瑞股份
1241,002039,黔源电力
1242,002061,浙江交科
1243,002962,五方光电
1244,300080,易成新能
1245,300299,富春股份
